model,cases,lh_est_pp,lh_t,lh_p,lin_slope_pp_per_tier,lin_t,lin_p
Gemini,30,-33.4090,-4.2807,0.000186,9.9555,4.1495,0.000266
GLM,30,-37.2854,-5.0690,0.000021,11.2535,4.6291,0.000071
MiMo,30,-19.1354,-2.9945,0.005575,6.7029,3.2129,0.003211
