row,hug_L,hug_L_p,hug_H,hug_H_p,pull_L,pull_L_p,pull_H,pull_H_p,trend,trend_p,pull_source
Gemini,-6.6667,0.38007,39.1667,0.00005,-12.4871,0.11779,20.9218,0.00041,9.9555,0.00027,csv
GLM,-30.0000,0.00061,5.0000,0.13601,-34.9099,0.00007,2.3755,0.34367,11.2535,0.00007,csv
MiMo,-21.6667,0.00154,6.6667,0.17410,-12.7319,0.05935,6.4035,0.17555,6.7029,0.00321,csv
Grok,10.0000,0.26381,10.0000,0.06287,0.0489,0.99604,8.1126,0.08676,0.1168,0.97090,csv
Grok (excl. S1),-13.3333,0.29270,10.0000,0.06287,-20.4470,0.10094,8.1126,0.08676,8.5178,0.02691,csv
Doubao,30.0000,0.00019,54.1667,0.00000,27.8097,0.00017,45.4787,0.00000,5.4953,0.11039,csv
DeepSeek,29.4444,0.00064,9.4444,0.04615,25.9934,0.00295,9.4784,0.03778,-5.2682,0.09416,csv
Kimi,-30.5556,0.00000,-6.1111,0.01904,-20.5837,0.00047,-3.3208,0.05707,5.9743,0.00243,csv
