model,pole,n,delta_pull,p_pull,delta_hug,p_hug
Gemini,S1,100,-17.3,0.0007,-11.0,0.0156
Gemini,S5,30,17.8,0.007,33.3,0.0023
MiMo,S1,100,-11.3,0.0216,-25.0,0.0
MiMo,S5,99,4.9,0.0247,5.1,0.0246
GLM,S1,30,-33.6,0.0023,-26.7,0.0182
GLM,S5,100,3.3,0.034,4.0,0.0449
