model,n,x05_award,x05_anchor,x2_award,x2_anchor,total_award,total_anchor,p,stars
Gemini,27,1,23,0,27,1,50,4.62e-14,***
GLM,26,0,26,0,19,0,45,5.68e-14,***
MiMo,28,0,28,0,26,0,54,1.11e-16,***
Blind on award (pooled),9,0,9,0,9,0,18,7.63e-06,***
