model,tier,arm,pull_non,pull_think,delta_pull,c,hug_non,hug_think,delta_hug
Doubao,Layperson,x2,53.2,65.4,12.1,0.259,15.0,18.0,3.0
Doubao,Law student,x05,54.5,90.3,35.8,0.787,14.0,27.0,13.0
Doubao,Law student,pooled,60.4,83.0,22.6,0.57,16.5,24.0,7.5
Doubao,Law student,x2,66.3,75.6,9.4,0.278,19.0,21.0,2.0
Doubao,Expert,x05,40.5,93.5,53.0,0.891,9.5,28.0,18.5
Doubao,Expert,pooled,53.0,85.3,32.3,0.688,13.8,24.8,11.0
Doubao,Expert,x2,65.6,77.1,11.5,0.335,18.0,21.5,3.5
Doubao,Chief judge,x05,58.8,96.7,37.9,0.919,15.0,29.0,14.0
Doubao,Chief judge,pooled,63.9,86.8,22.9,0.634,17.5,25.0,7.5
Doubao,Chief judge,x2,69.0,76.9,7.9,0.255,20.0,21.0,1.0
DeepSeek,Fortune,x05,56.6,82.9,26.3,0.606,16.0,24.3,8.3
DeepSeek,Fortune,pooled,55.2,73.1,17.9,0.4,15.0,21.0,6.0
DeepSeek,Fortune,x2,53.8,63.4,9.6,0.207,14.0,17.7,3.7
DeepSeek,Layperson,x05,59.8,85.4,25.7,0.638,16.0,25.3,9.3
DeepSeek,Layperson,pooled,61.2,76.8,15.7,0.404,16.5,22.0,5.5
DeepSeek,Layperson,x2,62.5,68.2,5.7,0.152,17.0,18.7,1.7
DeepSeek,Law student,x05,73.1,91.6,18.5,0.687,21.0,27.3,6.3
DeepSeek,Law student,pooled,76.8,79.3,2.5,0.11,21.5,23.0,1.5
DeepSeek,Law student,x2,80.4,67.0,-13.4,-0.166,22.0,18.7,-3.3
DeepSeek,Expert,x05,84.3,96.6,12.3,0.781,25.0,28.7,3.7
DeepSeek,Expert,pooled,82.2,86.5,4.3,0.241,23.5,25.2,1.7
DeepSeek,Expert,x2,80.1,76.4,-3.7,-0.046,22.0,21.8,-0.2
DeepSeek,Chief judge,x05,93.3,100.0,6.7,1.0,28.0,30.0,2.0
DeepSeek,Chief judge,pooled,94.2,94.3,0.1,0.01,28.0,28.0,-0.0
DeepSeek,Chief judge,x2,95.1,88.6,-6.5,-0.069,28.0,26.0,-2.0
Kimi,Fortune,x05,63.9,38.0,-25.9,-0.405,15.7,5.3,-10.3
Kimi,Fortune,pooled,67.5,45.1,-22.4,-0.332,17.2,9.5,-7.7
Kimi,Fortune,x2,71.1,52.1,-18.9,-0.266,18.7,13.7,-5.0
Kimi,Layperson,x05,89.9,74.7,-15.3,-0.17,26.3,18.3,-8.0
Kimi,Layperson,pooled,85.4,75.1,-10.3,-0.121,24.7,20.2,-4.5
Kimi,Layperson,x2,80.8,75.5,-5.3,-0.066,23.0,22.0,-1.0
Kimi,Law student,x05,95.3,88.0,-7.3,-0.076,28.0,24.3,-3.7
Kimi,Law student,pooled,90.5,83.1,-7.5,-0.082,26.3,23.5,-2.8
Kimi,Law student,x2,85.7,78.1,-7.6,-0.089,24.7,22.7,-2.0
Kimi,Expert,x05,95.0,89.1,-6.0,-0.063,28.2,24.8,-3.3
Kimi,Expert,pooled,88.2,86.0,-2.1,-0.024,25.8,24.5,-1.3
Kimi,Expert,x2,81.4,83.0,1.7,0.089,23.5,24.2,0.7
Kimi,Chief judge,x05,94.6,93.9,-0.7,-0.007,28.0,27.7,-0.3
Kimi,Chief judge,pooled,94.0,92.4,-1.6,-0.017,27.8,27.3,-0.5
Kimi,Chief judge,x2,93.5,91.0,-2.5,-0.026,27.7,27.0,-0.7
