model,L_delta_pull_raw,H_delta_pull_raw,trend_slope_raw,trend_p_raw,L_delta_pull_csv,H_delta_pull_csv,trend_slope_csv,trend_p_csv
Gemini,-12.49,20.92,0.1,0.00026619571440685013,-12.49,20.92,0.1,0.00026619571440685013
GLM,-34.91,2.38,0.113,7.103046931588318e-05,-34.91,2.38,0.113,7.103046931588318e-05
MiMo,-12.73,6.4,0.067,0.0032111875642857764,-12.73,6.4,0.067,0.0032111875642857764
Grok,0.05,8.11,0.001,0.970896489452197,0.05,8.11,0.001,0.970896489452197
Doubao,27.81,45.48,0.055,0.11038624193106615,27.81,45.48,0.055,0.11038624193106615
DeepSeek,26.51,9.49,-0.054,0.08617018159984008,25.99,9.48,-0.053,0.09415543202804781
Kimi,-20.2,-2.84,0.061,0.0019126085556062948,-20.58,-3.32,0.06,0.0024309416117381157
Grok (excl. S1),-20.45,8.11,0.085,0.026910718280071036,,,,
